_id,Year/Année,Name/Nom,Frequency/Fréquence
649,1918,LEONARD,172
650,1918,LEOPOLD,9
651,1918,LEROY,13
652,1918,LESLIE,101
653,1918,LESTER,12
654,1918,LEVI,5
655,1918,LEWIS,43
656,1918,LIONEL,25
657,1918,LLOYD,362
658,1918,LORENZO,6
659,1918,LORNE,116
660,1918,LOUIS,119
661,1918,LOYD,36
662,1918,LUCIEN,30
663,1918,LUIGI,10
664,1918,LYLE,23
665,1918,M,26
666,1918,MAC,5
667,1918,MALCOLM,33
668,1918,MARCEL,6
669,1918,MARGARET,5
670,1918,MARIAN,5
671,1918,MARIO,5
672,1918,MARION,5
673,1918,MARK,17
674,1918,MARSHALL,19
675,1918,MARTIN,35
676,1918,MARVIN,9
677,1918,MATHEW,5
678,1918,MATTHEW,17
679,1918,MAURICE,70
680,1918,MAX,37
681,1918,MAXWELL,16
682,1918,MAYNARD,5
683,1918,MELVILLE,51
684,1918,MELVIN,54
685,1918,MEREDITH,5
686,1918,MERLE,5
687,1918,MERVIN,28
688,1918,MERVYN,13
689,1918,MICHAEL,147
690,1918,MICHEAL,5
691,1918,MICHEL,7
692,1918,MIKE,26
693,1918,MILTON,56
694,1918,MOISE,6
695,1918,MORGAN,9
696,1918,MORLEY,32
697,1918,MORRIS,63
698,1918,MORTIMER,5
699,1918,MOSES,13
700,1918,MURRAY,105
701,1918,MURRY,9
702,1918,MYER,5
703,1918,MYRON,6
704,1918,NAPOLEON,10
705,1918,NATHAN,9
706,1918,NATHANIEL,5
707,1918,NEIL,29
708,1918,NELSON,53
709,1918,NICHOLAS,28
710,1918,NICK,19
711,1918,NOEL,13
712,1918,NORMAN,356
713,1918,NORVAL,6
714,1918,NYKOLA,5
715,1918,OIVA,5
716,1918,OLIVER,30
717,1918,OMER,18
718,1918,ORLAND,6
719,1918,ORLANDO,8
720,1918,ORLEY,6
721,1918,ORVAL,23
722,1918,ORVILLE,28
723,1918,OSCAR,45
724,1918,OSWALD,7
725,1918,OTTO,6
726,1918,OVILA,6
727,1918,OWEN,12
728,1918,PASQUALE,9
729,1918,PATRICK,97
730,1918,PAUL,120
731,1918,PERCIVAL,18
732,1918,PERCY,87
733,1918,PERRY,5
734,1918,PETE,11
735,1918,PETER,144
736,1918,PETRO,7
737,1918,PHILIP,67
738,1918,PHILIPPE,7
739,1918,PHILLIP,18
740,1918,PIERRE,15
741,1918,RAE,5
742,1918,RALPH,136
743,1918,RANDOLPH,6
